City,State,Total Estimate,Married Households,Male Unmarried Household,Female Unmarried Household,Nonfamily Household
Norwalk,Connecticut,36847,16911,935,4191,14810
Denver,Colorado,326634,110495,11519,30913,173707
Compton,California,28820,10546,3216,6544,8514
Concord,California,46375,22391,2342,6251,15391
Corona,California,48905,29396,2580,6691,10238
Roswell,Georgia,37044,20257,1128,3297,12362
Sandy Springs,Georgia,52487,22234,765,4883,24605
Elgin,Illinois,40585,21944,3153,4172,11316
Evanston,Illinois,31157,13301,745,3029,14082
Bloomington,Indiana,31711,7743,1082,2255,20631
Lynwood,California,16079,7156,2267,3865,2791
"Metairie CDP, Louisiana",,62315,28861,3785,7474,22195
"Lexington-Fayette urban county, Kentucky",,139303,53721,6058,15198,64326
Palo Alto,California,24501,14909,910,1563,7119
Framingham,Massachusetts,26320,14433,1389,2075,8423
San Bernardino,California,63331,28003,5986,12555,16787
San Buenaventura (Ventura),California,42288,21037,2017,4445,14789
Dearborn,Michigan,35209,18972,1947,4260,10030
San Diego,California,521000,227133,23811,53380,216676
North Las Vegas,Nevada,85966,38546,7861,16156,23403
Tulare,California,20974,10626,1772,3799,4777
Columbia,Missouri,50572,19258,1260,4603,25451
Turlock,California,24885,12782,1282,3963,6858
Tustin,California,26762,13404,2180,4517,6661
Yorba Linda,California,24098,15656,752,1833,5857
Yuba City,California,24176,10785,1838,3872,7681
Missoula,Montana,33744,11636,1180,3657,17271
Pembroke Pines,Florida,64378,29890,4585,7921,21982
"Pine Hills CDP, Florida",,25752,8895,2555,9295,5007
Plantation,Florida,36564,16454,2041,5377,12692
"Poinciana CDP, Florida",,21402,10613,1464,3842,5483
Pompano Beach,Florida,48363,15465,3707,6489,22702
Conway,Arkansas,25251,10439,1113,3372,10327
Costa Mesa,California,43711,17706,2612,5415,17978
Hoover,Alabama,36721,21668,1488,2059,11506
Huntsville,Alabama,96551,39641,4259,10487,42164
Peoria,Arizona,75479,40367,3194,8017,23901
Savannah,Georgia,59612,18753,3305,11438,26116
Scottsdale,Arizona,119122,54186,3495,8026,53415
South Fulton,Georgia,41405,14445,2507,9951,14502
Rockford,Illinois,59909,20618,3905,9477,25909
Fairfield,California,38097,18500,3242,6199,10156
Carmel,Indiana,39994,24936,663,1468,12927
Huntington Beach,California,79930,39028,3877,7997,29028
Indio,California,34673,16811,2804,2999,12059
Inglewood,California,37972,11316,4410,7735,14511
Sioux City,Iowa,33659,15906,2216,4344,11193
Shawnee,Kansas,27114,15132,1166,1978,8838
New Orleans,Louisiana,158827,43314,5970,25112,84431
"Louisville/Jefferson County metro government (balance), Kentucky",,264336,104440,13973,38846,107077
Pasadena,California,56992,22166,2943,5146,26737
Haverhill,Massachusetts,25293,11444,1575,4429,7845
Springfield,Massachusetts,57806,16400,3457,15858,22091
San Francisco,California,350796,131149,11447,27691,180509
Grand Rapids,Michigan,79486,27450,4060,10971,37005
"Paradise CDP, Nevada",,78005,25445,5392,10667,36501
South Gate,California,24891,10981,4256,5320,4334
Union City,California,21637,13926,1455,1710,4546
Rockville,Maryland,25537,13865,1208,1976,8488
Upland,California,26052,13106,2228,4673,6045
"Port Charlotte CDP, Florida",,29120,15180,1076,2725,10139
Port St. Lucie,Florida,77190,42349,3450,10753,20638
"Riverview CDP, Florida",,40114,21303,2327,6155,10329
Flagstaff,Arizona,29435,11694,490,2382,14869
Phoenix,Arizona,602039,250761,46825,87436,217017
Tempe,Arizona,77306,22633,4696,7442,42535
Irvine,California,111648,58004,2786,9575,41283
Ames,Iowa,25901,7954,127,1248,16572
Topeka,Kansas,55844,19541,2824,6811,26668
Perris,California,19923,12295,2269,2875,2484
"Columbia CDP, Maryland",,42050,20035,2191,6104,13720
Lawrence,Massachusetts,30366,9159,3128,9597,8482
Detroit,Michigan,251729,48400,18460,65657,119212
San Jose,California,322881,169225,18880,41770,93006
San Leandro,California,30977,13537,2167,4339,10934
Reno,Nevada,110993,41687,6780,12299,50227
Vacaville,California,33777,19059,1766,4211,8741
Vallejo,California,43906,18320,2832,7832,14922
St. Petersburg,Florida,111349,40160,4575,11642,54972
Danbury,Connecticut,33024,15130,954,3434,13506
Jonesboro,Arkansas,30432,13532,1600,4659,10641
"Queen Creek town, Arizona",,20981,15375,976,2215,2415
Warner Robins,Georgia,30701,11511,3642,5460,10088
Elk Grove,California,53724,35228,3460,5241,9795
"Schaumburg village, Illinois",,31569,15689,743,2795,12342
"Skokie village, Illinois",,23599,13130,1518,2031,6920
Evansville,Indiana,53896,17127,2945,7715,26109
Fishers,Indiana,35466,25108,1317,1268,7773
Fort Wayne,Indiana,109640,44338,5186,15174,44942
Ankeny,Iowa,27720,15605,600,2677,8838
Waterloo,Iowa,29948,11794,1305,2919,13930
West Des Moines,Iowa,36066,12613,1365,1789,20299
Wichita,Kansas,156668,66238,10239,19718,60473
Baton Rouge,Louisiana,87440,23879,4579,15945,43037
